2024-0551,Lawiswis,Rica,BSSTAT,1,Female
2024-1227,Heneral,Luna,BAHIS,4,Male
2024-0883,Goyo,Del Pilar,BAHIS,2,Male
2024-1559,Joven,Hernando,BALCS,1,Male
2024-0441,Manuel,Quezon,BAPOLSCI,4,Male
2024-1993,Sergio,Osmeña,BSA,4,Male
2024-0338,Ramon,Magsaysay,BSEE,4,Male
2024-1667,Ninoy,Aquino,BAFIL,4,Male
2024-0774,Cory,Cojuangco,BSBA-MM,4,Female
2024-1883,Miriam,Defensor,BAPOLSCI,4,Female
2024-0119,Chel,Diokno,BAPOLSCI,1,Male
2024-1440,Vico,Sotto,BAPOLSCI,2,Male
2024-0667,Isko,Moreno,BSBA-MM,3,Male
2024-1331,Grace,Llamanzares,BASOCIO,3,Female
2024-0222,Lorna,Tolentino,BAPHILO,4,Female
2024-1776,Sharon,Cuneta,BSHM,4,Female
2024-0554,Vilma,Santos,BSE,4,Female
2024-1228,Nora,Aunor,BAPAN,4,Female
2024-0882,Dolphy,Quizon,BSCA,4,Male
2024-1557,Babalu,Panganiban,BSCA,3,Male
2024-0448,Redford,White,BSCA,2,Male
2024-1996,Panchito,Alba,BSCA,4,Male
2024-0333,Rene,Requiestas,BSCA,1,Male
2024-1661,Mura,Magallanes,BSCA,2,Others
2024-0776,Mahal,Tesoro,BSCA,2,Others
2024-1882,Dagul,Pastrana,BSCA,3,Male
2024-0116,Long,Mejia,BSCA,4,Male
2024-1444,Bayani,Agbayani,BSCA,2,Male
2024-0669,Ai-Ai,Delas Alas,BSHM,4,Female
2024-3001,Ibarra,Salcedo,BSCS,2,Male
2024-3002,Paulita,Gomez,BSBA-MM,4,Female
2024-3003,Isagani,Rivera,BAHIS,3,Male
2024-3004,Juli,San Jose,BSN,1,Female
2024-3005,Lucas,Panganiban,BSBIO,2,Male
2024-3006,Tarsilo,Almario,BSBIO-ANBIO,4,Male
2024-3007,Bruno,Almario,BSCE,3,Male
2024-3008,Doña,Victorina,BSMB,4,Female
2024-3009,Doña,Consolacion,BSPHY,4,Female
2024-3010,Don,Tiburcio,BSCHEM,4,Male
2024-3011,Linares,Araneta,BSBIO-BOT,2,Male
2024-3012,Alfonso,Linares,BSSTAT,1,Male
2024-3013,Pilosopo,Tasyo,BSMETE,4,Male
2024-3014,Kapitan,Tiago,BSME,4,Male
2024-3015,Tandang,Selo,BSIT,4,Male
2024-3016,Hermana,Bali,BSIS,3,Female
2024-3017,Ben,Zayb,BSCPE,2,Male
2024-3018,Makaraig,Ledesma,BSCA,3,Male
2024-3019,Pecson,Villamil,BAPOLSCI,2,Male
2024-3020,Sandoval,Cortes,BASOCIO,1,Male
2024-3021,Tadeo,Generoso,BSA,2,Male
2024-3022,Juanito,Pelaez,BEED-LE,3,Male
2024-3023,Simoun,Ibarra,BHM,4,Male
2024-3024,Basilio,Magalang,BSED-FIL,4,Male
2024-3025,Kabesang,Tales,BTLED-HOMECO,4,Male
2024-3026,Placido,Penitente,BSBA-MM,1,Male
2024-3027,Zeneida,Quezon,BAELS,2,Female
2024-3028,Melchora,Aquino,BAPAN,4,Female
2024-3029,Gregoria,de Jesus,BSPSYCH,4,Female
2024-3030,Teresa,Magbanua,BSCE,4,Female
2024-3031,Agueda,Esteban,BALCS,1,Female
2024-3032,Trinidad,Tecson,BSED-MAT,4,Female
2024-3033,Marina,Dizon,BSBIO,2,Female
2024-3034,Delfina,Herbosa,BSED-BIO,3,Female
2024-3035,Marcelo,del Pilar,BSCS,4,Male
2024-3036,Graciano,Lopez Jaena,BSEE,4,Male
2024-3037,Antonio,Luna,BAPSYCH,4,Male
2024-3038,Juan,Luna,BEED-SCIMAT,4,Male
2024-3039,Artemio,Ricarte,BSN,3,Male
2024-3040,Macario,Sakay,BSN,4,Male
2024-3041,Miguel,Malvar,BSCS,4,Male
2024-3042,Ladislao,Diwa,BSBIO,2,Male
2024-3043,Teodoro,Plata,BSME,1,Male
2024-3044,Valentin,Ventura,BSCA,3,Male
2024-3045,Felipe,Agoncillo,BSMETE,4,Male
2024-3046,Mariano,Ponce,BTVTED-DT,4,Male
2024-3047,Galicano,Apacible,BSHM,4,Male
2024-3048,Jose,Palma,BSPHY,1,Male
2024-3049,Emilio,Jacinto,BSIAM,2,Male
2024-3050,Pascual,Poblete,BSMETE,4,Male
